Saison,Spieler,Position,Alter,Marktwert,Nationalität,Abgebender Verein,Abgebende Liga,Aufnehmender Verein,Aufnehmende Liga,Minuten,Tore,Vorlagen,Gelbe Karten,Rote Karten,Expected Goals,Expected Assists,Erfolgreiche Dribblings,Erfolgreiche Pässe,Potential,Größe,Gewicht,Starker Fuß,Beidfüßigkeit,Skill-Moves,Internationaler Ruf,Arbeitsrate,Schnelligkeit,Schießen,Passen,Dribbling,Verteidigung,Physis,xGoalDiff
18,Álvaro Odriozola,Right-Back,22,25.0,Spain,Real Sociedad,LaLiga,Real Madrid,LaLiga,2918.0,0.0,4.0,3.0,1.0,0.6,3.6,193.0,98.0,88,176,66,Right,3,3,1,High/Medium,81.0,53.0,71.0,73.0,79.0,68.0,-0.6
18,Jefferson Lerma,Defensive Midfield,23,2.0,Colombia,Levante,LaLiga,Bournemouth,Premier League,2135.0,0.0,1.0,16.0,0.0,1.2,1.5,19.0,106.0,84,179,70,Right,4,3,1,Medium/High,75.0,65.0,72.0,73.0,78.0,81.0,-1.2
18,Aleksandr Golovin,Attacking Midfield,22,25.0,Russia,CSKA Moscow,Premier Liga,Monaco,Ligue 1,2279.0,5.0,3.0,8.0,0.0,,,,,85,180,69,Right,4,4,1,High/High,82.0,72.0,76.0,84.0,67.0,68.0,
18,Fabián Ruiz,Central Midfield,22,20.0,Spain,Real Betis,LaLiga,Napoli,Serie A,2659.0,3.0,6.0,3.0,0.0,1.6,2.2,68.0,211.0,85,189,70,Left,3,4,1,Medium/Medium,68.0,77.0,76.0,80.0,74.0,68.0,1.4
18,Tiemoué Bakayoko,Defensive Midfield,23,40.0,France,Chelsea,Premier League,AC Milan,Serie A,2126.0,2.0,2.0,4.0,2.0,3.2,1.2,39.0,123.0,85,189,85,Right,3,3,2,Medium/Medium,68.0,48.0,69.0,74.0,78.0,82.0,-1.2000000000000002
18,Leon Goretzka,Central Midfield,23,40.0,Germany,FC Schalke 04,Bundesliga,Bayern Munich,Bundesliga,1982.0,4.0,2.0,3.0,0.0,4.4,1.0,58.0,106.0,88,189,79,Right,4,3,3,High/High,83.0,74.0,80.0,81.0,77.0,76.0,-0.40000000000000036
18,Richarlison,Centre-Forward,21,25.0,Brazil,Watford,Premier League,Everton,Premier League,2823.0,5.0,4.0,4.0,0.0,10.3,3.4,126.0,73.0,85,181,70,Right,5,4,1,High/High,83.0,71.0,68.0,80.0,37.0,77.0,-5.300000000000001
18,Felipe Anderson,Left Winger,25,30.0,Brazil,Lazio,Serie A,West Ham,Premier League,1162.0,4.0,6.0,0.0,0.0,2.8,4.3,98.0,83.0,85,175,70,Right,4,4,3,High/High,92.0,75.0,78.0,88.0,56.0,60.0,1.2000000000000002
18,Thilo Kehrer,Centre-Back,21,18.0,Germany,FC Schalke 04,Bundesliga,Paris SG,Ligue 1,2365.0,3.0,0.0,4.0,0.0,1.6,0.4,27.0,96.0,84,186,76,Left,5,3,1,Medium/High,75.0,43.0,57.0,65.0,77.0,73.0,1.4
18,Arturo Vidal,Central Midfield,31,35.0,Chile,Bayern Munich,Bundesliga,Barcelona,LaLiga,1456.0,6.0,2.0,6.0,0.0,4.1,2.5,18.0,130.0,85,180,75,Right,4,3,4,Medium/Medium,57.0,80.0,79.0,77.0,84.0,83.0,1.9000000000000004
18,Yerry Mina,Centre-Back,23,20.0,Colombia,Barcelona,LaLiga,Everton,Premier League,371.0,0.0,1.0,2.0,0.0,0.3,0.2,8.0,12.0,85,195,94,Right,2,2,1,Medium/High,54.0,54.0,56.0,57.0,78.0,83.0,-0.3
18,Lucas Torreira,Defensive Midfield,22,30.0,Uruguay,Sampdoria,Serie A,Arsenal,Premier League,3180.0,4.0,1.0,6.0,0.0,1.4,2.8,24.0,213.0,85,168,64,Right,3,4,2,Medium/High,77.0,62.0,77.0,80.0,73.0,73.0,2.6
