clubID,fifa_club
goias,goias
cadizcf,cadiz
alhilal,alhilal
guingamp,guingamp
getafe,getafe
maidenheadutd,
apoelnicosia,apoel
gornikzabrze,gornikzabrze
cracovia,cracoviakrakow
malmoff,malmoff
newyork,newyorkcity
unicatolica,
alain,alain
belgrano,belgrano
ostersund,ostersundsfk
elchecf,elche
realsc,realsociedadii
cskasofia,
athleticopr,athleticoparanaense
tigre,tigre
brighton,brightonhovealbion
crotone,crotone
wigan,wiganathletic
mskzilina,
wislaplock,wisapock
unionberlin,fcunionberlin
pogonszczecin,pogonszczecin
kashimaantlers,kashimaantlers
shsipg,
bursaspor,bursaspor
djurgarden,djurgarden
cordobacf,cordobacf
sundowns,mamelodisundowns
grasshoppers,grasshopper
ecvitoria,vitoria
extremadura,extremaduraud
kvkortrijk,kortrijk
bostonriver,
fcstpauli,pau
spal,spal
fcviitorul,viitorul
elmakasa,
zamalek,
chapecoense,chapecoense
armbielefeld,dscarminiabielefeld
peczwolle,peczwolle
fkcukaricki,
istanbulspor,istanbulspor
cdlugo,lugo
fcgroningen,fcgroningen
chamoisniort,niort
nottmforest,nottinghamforest
aekathens,aekathens
birmingham,birminghamcity
tottenhamu23,
vozdovac,
esbjergfb,esbjergfb
alahli,alahlijeddah
argentinosu20,gent
nkolimpija,olimpia
msvduisburg,msvduisburg
erzgebirgeaue,erzgebirgeaue
independiente,independiente
clermontfoot,clermont
ymalatyaspor,yenimalatyaspor
vflbochum,vflbochum1848
gzhengfeng,
dlyifang,
realvalladolid,realvalladolid
nkosijek,
saopaulou20,pau
stevenage,stevenage
charlton,charltonathletic
fusrabat,
venezia,venezia
wadidegla,
clubafricain,
melbournecity,melbournecity
ismaily,
barnsleyfc,barnsley
alanyaspor,alanyaspor
crizespor,rizespor
dlpro,
girona,girona
shshenhua,
nimesolympique,nimes
kasimpasa,kasmpasa
lokomoscow,
ituano,
genoau19,genoa
ecbahia,bahia
luton,lutontown
columbuscrew,columbuscrew
parma,parma
sdhuesca,huesca
dallas,dallas
pyramidsfc,
mtelaviv,
paoksalonika,paok
sanlorenzo,sanlorenzo
rapidvienna,rapidwien
fcsochaux,sochaux
genclerbirligi,genclerbirligi
