clubID,stats_club
ostersund,ostersund
elchecf,elche
realsc,realsaltlake
cskasofia,
athleticopr,
tigre,tigre
brighton,brighton
crotone,crotone
wigan,wiganathletic
mskzilina,
wislaplock,wisapock
unionberlin,unionberlin
pogonszczecin,pogonszczecin
kashimaantlers,kashimaantlers
shsipg,
bursaspor,bursaspor
djurgarden,djurgarden
cordobacf,cordoba
sundowns,
grasshoppers,grasshopper
ecvitoria,vitoria
extremadura,extremadura
kvkortrijk,kortrijk
bostonriver,
fcstpauli,stpauli
spal,spal
fcviitorul,
elmakasa,
zamalek,
chapecoense,chapecoense
armbielefeld,
peczwolle,zwolle
fkcukaricki,
istanbulspor,istanbulspor
cdlugo,lugo
fcgroningen,groningen
chamoisniort,niort
nottmforest,notthamforest
aekathens,
birmingham,birminghamcity
tottenhamu23,tottenham
vozdovac,
esbjergfb,esbjerg
alahli,alahli
argentinosu20,gent
nkolimpija,
msvduisburg,msvduisburg
erzgebirgeaue,erzgebirgeaue
independiente,independiente
clermontfoot,clermontfoot
ymalatyaspor,alanyaspor
vflbochum,bochum
gzhengfeng,
dlyifang,
realvalladolid,valladolid
nkosijek,
saopaulou20,saopaulo
stevenage,
charlton,charltonath
fusrabat,
venezia,venezia
wadidegla,
clubafricain,
melbournecity,
ismaily,
barnsleyfc,barnsley
alanyaspor,alanyaspor
crizespor,rizespor
dlpro,
girona,girona
shshenhua,
nimesolympique,nimes
kasimpasa,kasmpasa
lokomoscow,lokomoscow
ituano,
genoau19,genoa
ecbahia,bahia
luton,lutontown
columbuscrew,columbuscrew
parma,parma
sdhuesca,huesca
dallas,fcdallas
pyramidsfc,
mtelaviv,
paoksalonika,
sanlorenzo,sanlorenzo
rapidvienna,rapidwien
fcsochaux,sochaux
genclerbirligi,genclerbirligi
coventry,coventrycity
paradou,
ajaxu21,ajax
milanu19,milan
palermo,palermo
chicago,chicagofire
portsmouth,porto
lask,lask
lagalaxy,lagalaxy
heidenheim,heidenheim
bsad,bsad
realzaragoza,zaragoza
jregensburg,
holsteinkiel,holsteinkiel
norrkoping,norrkoping
juventusu23,juventus
waaslandbeveren,waaslandbev
lyngbybkyouth,lyngby
scpaderborn,paderborn07
interu19,inter
atleticohuila,
nkdomzaleu17,
fcsb,
kssamara,samara
sportingcpu23,sportingcp
manutdu23,
piastgliwice,piastgliwice
pontepreta,pontepreta
padova,padova
excelsior,excelsior
gambaosaka,gambaosaka
fcbayernii,
teamvaudu18,
leixoesu23,
brommapojkarna,brommapojkarna
lbchateauroux,chateauroux
fcportob,porto
adodenhaag,adodenhaag
ebraunschweig,braunschweig
barcelonasc,barcelona
fctokyo,fctokyo
cdcruzazul,
pescarau19,pescara
shimizuspulse,spulse
fcstgallen,stgallen
liverpoolu23,liverpool
philadelphia,philadelphiaunion
dynamomoscow,dynamomosc
csucraiova,
trespassos,
catalleres,talleres
rostov,rostov
coritibafc,coritiba
gremiou20,gremio
wolfsbergerac,wolfsbergerac
bodglimt,
kvmechelen,mechelen
millonarios,
lausannesport,lausannesport
nklokomotiva,
monacob,monaco
marseilleb,marseille
lecce,lecce
asterastripoli,
lanus,lanus
necnijmegen,necnijmegen
stabk,
lemansfc,lemans
bragab,braga
cdmirandes,cdmirandes
godoycruz,godoycruz
1fcmagdeburg,magdeburg
sarpsborg08,
nacbreda,nacbreda
unterhaching,
evertonu23,everton
bocajuniorsii,bocajuniors
fcdinamo,
toluca,
altaysk,altay
acpisa,pisa
vflosnabruck,osnabruck
heartofmidl,
silkeborgif,silkeborg
rajacasablanca,
alnasr,alnassr
udechile,chile
spartaks,spartakmoscow
speziacalcio,spezia
acajaccio,ajaccio
herthabscu19,herthabsc
denizlispor,denizlispor
lyngbybk,lyngby
yokohamafm,yokohamafc
wsgtirol,wsgtirol
rosenborg,
