Saison,Spieler,Position,Alter,Marktwert,Nationalität,Abgebender Verein,Abgebende Liga,Aufnehmender Verein,Aufnehmende Liga,Ablöse
17,Neymar,Left Winger,25,100.0,Brazil,Barcelona,LaLiga,Paris SG,Ligue 1,€222.00m
17,Ousmane Dembélé,Right Winger,20,33.0,France,Bor. Dortmund,Bundesliga,Barcelona,LaLiga,€135.00m
17,Virgil van Dijk,Centre-Back,26,30.0,Netherlands,Southampton,Premier League,Liverpool,Premier League,€84.65m
17,Álvaro Morata,Centre-Forward,24,40.0,Spain,Real Madrid,LaLiga,Chelsea,Premier League,€66.00m
17,Pierre-Emerick Aubameyang,Centre-Forward,28,65.0,Gabon,Bor. Dortmund,Bundesliga,Arsenal,Premier League,€63.75m
17,Benjamin Mendy,Left-Back,23,13.0,France,Monaco,Ligue 1,Man City,Premier League,€57.50m
17,Kyle Walker,Right-Back,27,30.0,England,Tottenham,Premier League,Man City,Premier League,€52.70m
17,James Rodríguez,Attacking Midfield,26,50.0,Colombia,Real Madrid,LaLiga,Bayern Munich,Bundesliga,Loan fee:€13.00m
17,Leonardo Bonucci,Centre-Back,30,45.0,Italy,Juventus,Serie A,AC Milan,Serie A,€42.00m
17,Mohamed Salah,Right Winger,25,35.0,Egypt,AS Roma,Serie A,Liverpool,Premier League,€42.00m
17,Corentin Tolisso,Central Midfield,22,22.0,France,Olympique Lyon,Ligue 1,Bayern Munich,Bundesliga,€41.50m
17,Ederson,Goalkeeper,23,22.0,Brazil,Benfica,Liga NOS,Man City,Premier League,€40.00m
17,Tiemoué Bakayoko,Defensive Midfield,22,16.0,France,Monaco,Ligue 1,Chelsea,Premier League,€40.00m
17,Philippe Coutinho,Attacking Midfield,25,90.0,Brazil,Liverpool,Premier League,Barcelona,LaLiga,€135.00m
17,Romelu Lukaku,Centre-Forward,24,50.0,Belgium,Everton,Premier League,Man Utd,Premier League,€84.70m
17,Alexis Sánchez,Centre-Forward,29,70.0,Chile,Arsenal,Premier League,Man Utd,Premier League,€34.00m
17,Aymeric Laporte,Centre-Back,23,25.0,Spain,Athletic,LaLiga,Man City,Premier League,€65.00m
17,Diego Costa,Centre-Forward,29,50.0,Spain,Chelsea,Premier League,Atlético Madrid,LaLiga,€60.00m
17,Alexandre Lacazette,Centre-Forward,26,40.0,France,Olympique Lyon,Ligue 1,Arsenal,Premier League,€53.00m
17,Bernardo Silva,Attacking Midfield,22,40.0,Portugal,Monaco,Ligue 1,Man City,Premier League,€50.00m
17,Gylfi Sigurdsson,Attacking Midfield,27,25.0,Iceland,Swansea,Premier League,Everton,Premier League,€49.40m
17,Nemanja Matic,Defensive Midfield,28,35.0,Serbia,Chelsea,Premier League,Man Utd,Premier League,€44.70m
17,Davinson Sánchez,Centre-Back,21,25.0,Colombia,Ajax,Eredivisie,Tottenham,Premier League,€42.00m
17,Paulinho,Central Midfield,29,15.0,Brazil,GZ Evergrande,Super League,Barcelona,LaLiga,€40.00m
17,Federico Bernardeschi,Right Winger,23,30.0,Italy,Fiorentina,Serie A,Juventus,Serie A,€40.00m
17,Cédric Bakambu,Centre-Forward,26,25.0,DR Congo,Villarreal,LaLiga,BJ Guoan,Super League,€40.00m
17,André Silva,Centre-Forward,21,22.0,Portugal,FC Porto,Liga NOS,AC Milan,Serie A,€38.00m
17,Danny Drinkwater,Central Midfield,27,9.0,England,Leicester,Premier League,Chelsea,Premier League,€37.90m
17,Vitolo,Left Winger,27,25.0,Spain,Sevilla FC,LaLiga,Atlético Madrid,LaLiga,€35.60m
17,Victor Lindelöf,Centre-Back,22,22.0,Sweden,Benfica,Liga NOS,Man Utd,Premier League,€35.00m
17,Kylian Mbappé,Centre-Forward,18,35.0,France,Monaco,Ligue 1,Paris SG,Ligue 1,loan transfer
17,Iñigo Martínez,Centre-Back,26,25.0,Spain,Real Sociedad,LaLiga,Athletic,LaLiga,€32.00m
17,Keita Baldé,Left Winger,22,25.0,Senegal,Lazio,Serie A,Monaco,Ligue 1,€30.00m
17,Blaise Matuidi,Central Midfield,30,30.0,France,Paris SG,Ligue 1,Juventus,Serie A,€25.00m
17,Jordan Pickford,Goalkeeper,23,15.0,England,Sunderland,Championship,Everton,Premier League,€28.50m
17,Lucas Moura,Right Winger,25,28.0,Brazil,Paris SG,Ligue 1,Tottenham,Premier League,€28.40m
17,Kelechi Iheanacho,Centre-Forward,20,15.0,Nigeria,Man City,Premier League,Leicester,Premier League,€27.70m
17,João Mário,Central Midfield,25,26.0,Portugal,Inter,Serie A,West Ham,Premier League,Loan fee:€1.20m
17,Yannick Carrasco,Left Winger,24,40.0,Belgium,Atlético Madrid,LaLiga,DL Yifang,Super League,€30.00m
17,Alex Oxlade-Chamberlain,Central Midfield,24,22.0,England,Arsenal,Premier League,Liverpool,Premier League,€38.00m
17,Nélson Semedo,Right-Back,23,20.0,Portugal,Benfica,Liga NOS,Barcelona,LaLiga,€35.70m
17,Antonio Rüdiger,Centre-Back,24,25.0,Germany,AS Roma,Serie A,Chelsea,Premier League,€35.00m
17,Henrikh Mkhitaryan,Central Midfield,29,35.0,Armenia,Man Utd,Premier League,Arsenal,Premier League,€34.00m
17,Milan Skriniar,Centre-Back,22,7.0,Slovakia,Sampdoria,Serie A,Inter,Serie A,€34.00m
17,Alessandro Bastoni,Centre-Back,18,1.5,Italy,Atalanta BC,Serie A,Inter,Serie A,€31.10m
17,Danilo,Centre-Back,26,16.0,Brazil,Real Madrid,LaLiga,Man City,Premier League,€30.00m
17,Douglas Costa,Right Winger,26,30.0,Brazil,Bayern Munich,Bundesliga,Juventus,Serie A,Loan fee:€6.00m
17,Michael Keane,Centre-Back,24,18.0,England,Burnley,Premier League,Everton,Premier League,€28.50m
17,Mamadou Sakho,Centre-Back,27,15.0,France,Liverpool,Premier League,Crystal Palace,Premier League,€28.20m
17,Davy Klaassen,Central Midfield,24,18.0,Netherlands,Ajax,Eredivisie,Everton,Premier League,€27.00m
17,Andriy Yarmolenko,Right Winger,27,18.0,Ukraine,Dynamo Kyiv,Premier Liga,Bor. Dortmund,Bundesliga,€25.00m
17,Youri Tielemans,Central Midfield,20,22.0,Belgium,RSC Anderlecht,JPL,Monaco,Ligue 1,€25.00m
17,Adrien Silva,Central Midfield,28,25.0,Portugal,Sporting CP,Liga NOS,Leicester,Premier League,€20.50m
17,Juan Cuadrado,Right Midfield,29,25.0,Colombia,Chelsea,Premier League,Juventus,Serie A,€20.00m
17,Michy Batshuayi,Centre-Forward,24,25.0,Belgium,Chelsea,Premier League,Bor. Dortmund,Bundesliga,Loan fee:€1.50m
17,Grzegorz Krychowiak,Defensive Midfield,27,25.0,Poland,Paris SG,Ligue 1,West Brom,Premier League,loan transfer
17,Andrea Conti,Right-Back,23,10.0,Italy,Atalanta BC,Serie A,AC Milan,Serie A,€24.00m
17,Theo Hernández,Left-Back,19,15.0,France,Atlético Madrid,LaLiga,Real Madrid,LaLiga,€24.00m
17,Leandro Paredes,Defensive Midfield,23,13.0,Argentina,AS Roma,Serie A,Zenit S-Pb,Premier Liga,€23.00m
17,André Ayew,Left Winger,28,18.0,Ghana,West Ham,Premier League,Swansea,Premier League,€22.80m
17,Theo Walcott,Right Winger,28,20.0,England,Arsenal,Premier League,Everton,Premier League,€22.50m
17,Guido Carrillo,Centre-Forward,26,6.0,Argentina,Monaco,Ligue 1,Southampton,Premier League,€22.00m
17,Islam Slimani,Centre-Forward,29,22.0,Algeria,Leicester,Premier League,Newcastle,Premier League,Loan fee:€2.20m
17,Serge Aurier,Right-Back,24,15.0,Cote d'Ivoire,Paris SG,Ligue 1,Tottenham,Premier League,€25.00m
17,Davide Zappacosta,Right Midfield,25,8.5,Italy,Torino,Serie A,Chelsea,Premier League,€25.00m
17,Niklas Süle,Centre-Back,21,25.0,Germany,TSG Hoffenheim,Bundesliga,Bayern Munich,Bundesliga,€20.00m
17,Ross Barkley,Central Midfield,24,25.0,England,Everton,Premier League,Chelsea,Premier League,€16.80m
17,Vitolo,Left Winger,27,25.0,Spain,Atlético Madrid,LaLiga,UD Las Palmas,LaLiga,loan transfer
17,Luis Muriel,Centre-Forward,26,17.0,Colombia,Sampdoria,Serie A,Sevilla FC,LaLiga,€24.50m
17,Matías Vecino,Central Midfield,25,13.0,Uruguay,Fiorentina,Serie A,Inter,Serie A,€24.00m
17,Hakan Çalhanoğlu,Defensive Midfield,23,20.0,Türkiye,B. Leverkusen,Bundesliga,AC Milan,Serie A,€23.30m
17,Nathan Aké,Centre-Back,22,8.0,Netherlands,Chelsea,Premier League,Bournemouth,Premier League,€22.80m
17,Cenk Tosun,Centre-Forward,26,10.5,Türkiye,Besiktas,Süper Lig,Everton,Premier League,€22.50m
17,Marko Arnautovic,Centre-Forward,28,15.0,Austria,Stoke City,Premier League,West Ham,Premier League,€22.30m
17,Renato Sanches,Central Midfield,20,22.0,Portugal,Bayern Munich,Bundesliga,Swansea,Premier League,Loan fee:€8.50m
17,Rodrigo Bentancur,Defensive Midfield,20,6.0,Uruguay,Boca Juniors,Superliga,Juventus,Serie A,€21.70m
17,Kingsley Coman,Left Winger,21,20.0,France,Juventus,Serie A,Bayern Munich,Bundesliga,€21.00m
17,Nikola Maksimović,Centre-Back,25,10.0,Serbia,Torino,Serie A,Napoli,Serie A,€21.00m
17,Jadon Sancho,Left Winger,17,5.0,England,Man City U18,U18 Premier League,Bor. Dortmund,Bundesliga,€20.59m
17,Andre Gray,Centre-Forward,26,10.0,Jamaica,Burnley,Premier League,Watford,Premier League,€20.40m
17,Emerson,Left-Back,23,14.0,Italy,AS Roma,Serie A,Chelsea,Premier League,€20.00m
17,Kevin Kampl,Central Midfield,26,15.0,Slovenia,B. Leverkusen,Bundesliga,RB Leipzig,Bundesliga,€20.00m
17,Olivier Giroud,Centre-Forward,31,20.0,France,Arsenal,Premier League,Chelsea,Premier League,€17.00m
17,Nikola Kalinić,Centre-Forward,29,20.0,Croatia,Fiorentina,Serie A,AC Milan,Serie A,Loan fee:€5.00m
17,Franck Kessié,Central Midfield,20,20.0,Cote d'Ivoire,Atalanta BC,Serie A,AC Milan,Serie A,loan transfer
17,Kevin Wimmer,Centre-Back,24,7.0,Austria,Tottenham,Premier League,Stoke City,Premier League,€19.40m
17,Nabil Bentaleb,Defensive Midfield,22,18.0,Algeria,Tottenham,Premier League,FC Schalke 04,Bundesliga,€19.00m
17,Nicolas Pépé,Right Winger,22,3.0,Cote d'Ivoire,Angers SCO,Ligue 1,LOSC Lille,Ligue 1,€18.00m
17,Manuel Akanji,Centre-Back,22,5.0,Switzerland,FC Basel,Super League,Bor. Dortmund,Bundesliga,€21.50m
17,Dalbert,Left-Back,23,5.0,Brazil,OGC Nice,Ligue 1,Inter,Serie A,€21.00m
17,Pietro Pellegri,Centre-Forward,16,8.0,Italy,Genoa,Serie A,Monaco,Ligue 1,€20.90m
17,Roberto Gagliardini,Central Midfield,23,15.0,Italy,Atalanta BC,Serie A,Inter,Serie A,€20.50m
17,Maximilian Philipp,Second Striker,23,15.0,Germany,SC Freiburg,Bundesliga,Bor. Dortmund,Bundesliga,€20.00m
17,Óliver Torres,Central Midfield,22,14.0,Spain,Atlético Madrid,LaLiga,FC Porto,Liga NOS,€20.00m
17,Lucas Biglia,Defensive Midfield,31,20.0,Argentina,Lazio,Serie A,AC Milan,Serie A,€19.70m
17,Anthony Modeste,Centre-Forward,29,20.0,France,1.FC Köln,Bundesliga,TJ Quanjian,Super League,Loan fee:€5.70m
17,Daniel Sturridge,Centre-Forward,28,20.0,England,Liverpool,Premier League,West Brom,Premier League,Loan fee:€2.30m
17,João Cancelo,Right-Back,23,20.0,Portugal,Valencia,LaLiga,Inter,Serie A,loan transfer
17,Lucas Alario,Centre-Forward,24,12.0,Argentina,River Plate,Superliga,B. Leverkusen,Bundesliga,€19.00m
17,Mateo Musacchio,Centre-Back,26,18.0,Argentina,Villarreal,LaLiga,AC Milan,Serie A,€18.00m
17,Chicharito,Centre-Forward,29,18.0,Mexico,B. Leverkusen,Bundesliga,West Ham,Premier League,€17.80m
17,Florian Thauvin,Right Winger,24,18.0,France,Newcastle,Premier League,Marseille,Ligue 1,€11.00m
17,Carlos Bacca,Centre-Forward,30,18.0,Colombia,AC Milan,Serie A,Villarreal,LaLiga,Loan fee:€2.50m
17,Rúben Neves,Defensive Midfield,20,10.0,Portugal,FC Porto,Liga NOS,Wolves,Championship,€17.90m
17,Mario Lemina,Defensive Midfield,23,7.5,Gabon,Juventus,Serie A,Southampton,Premier League,€17.25m
17,Wojciech Szczęsny,Goalkeeper,27,17.0,Poland,Arsenal,Premier League,Juventus,Serie A,€18.40m
17,Matthias Ginter,Centre-Back,23,15.0,Germany,Bor. Dortmund,Bundesliga,Bor. M'gladbach,Bundesliga,€17.00m
17,Ismaïla Sarr,Right Winger,19,2.5,Senegal,FC Metz,Ligue 1,Stade Rennais,Ligue 1,€17.00m
17,Jürgen Locadia,Centre-Forward,24,8.5,Curacao,PSV Eindhoven,Eredivisie,Brighton,Premier League,€17.00m
17,Gonçalo Guedes,Left Winger,20,17.0,Portugal,Paris SG,Ligue 1,Valencia,LaLiga,loan transfer
17,Marten de Roon,Defensive Midfield,26,10.0,Netherlands,Middlesbrough,Championship,Atalanta BC,Serie A,€16.70m
17,Chris Wood,Centre-Forward,25,6.0,New Zealand,Leeds,Championship,Burnley,Premier League,€16.40m
17,Rick Karsdorp,Right-Back,22,9.0,Netherlands,Feyenoord,Eredivisie,AS Roma,Serie A,€16.00m
17,Wilfried Bony,Centre-Forward,28,18.0,Cote d'Ivoire,Man City,Premier League,Swansea,Premier League,€13.00m
17,Benedikt Höwedes,Centre-Back,29,18.0,Germany,FC Schalke 04,Bundesliga,Juventus,Serie A,Loan fee:€3.50m
17,Geoffrey Kondogbia,Defensive Midfield,24,18.0,Central African Republic,Inter,Serie A,Valencia,LaLiga,loan transfer
17,Panagiotis Retsos,Centre-Back,19,5.0,Greece,Olympiacos,Super League 1,B. Leverkusen,Bundesliga,€17.50m
17,Britt Assombalonga,Centre-Forward,24,5.0,DR Congo,Nottm Forest,Championship,Middlesbrough,Championship,€17.10m
17,Jhon Córdoba,Centre-Forward,24,7.0,Colombia,1.FSV Mainz 05,Bundesliga,1.FC Köln,Bundesliga,€17.00m
17,John Brooks,Centre-Back,24,14.0,United States,Hertha BSC,Bundesliga,VfL Wolfsburg,Bundesliga,€17.00m
17,Giovanni Simeone,Centre-Forward,22,10.0,Argentina,Genoa,Serie A,Fiorentina,Serie A,€17.00m
17,Ricardo Rodríguez,Left-Back,24,17.0,Switzerland,VfL Wolfsburg,Bundesliga,AC Milan,Serie A,€15.00m
17,Medhi Benatia,Centre-Back,30,15.0,Morocco,Bayern Munich,Bundesliga,Juventus,Serie A,€16.70m
17,Dani Ceballos,Central Midfield,20,10.0,Spain,Real Betis,LaLiga,Real Madrid,LaLiga,€16.50m
17,Sam Clucas,Central Midfield,26,2.5,England,Hull City,Championship,Swansea,Premier League,€16.30m
17,Wesley Hoedt,Centre-Back,23,7.5,Netherlands,Lazio,Serie A,Southampton,Premier League,€16.00m
17,Yuri Berchiche,Left-Back,27,10.0,Spain,Real Sociedad,LaLiga,Paris SG,Ligue 1,€16.00m
17,Simone Zaza,Centre-Forward,26,15.0,Italy,Juventus,Serie A,Valencia,LaLiga,€16.00m
17,Ömer Toprak,Centre-Back,27,16.0,Türkiye,B. Leverkusen,Bundesliga,Bor. Dortmund,Bundesliga,€12.00m
17,Samir Nasri,Attacking Midfield,30,16.0,France,Man City,Premier League,Antalyaspor,Süper Lig,€3.50m
17,Fernando Llorente,Centre-Forward,32,6.0,Spain,Swansea,Premier League,Tottenham,Premier League,€15.10m
17,Konstantinos Mitroglou,Centre-Forward,29,12.0,Greece,Benfica,Liga NOS,Marseille,Ligue 1,€15.00m
17,Vicente Iborra,Defensive Midfield,29,9.0,Spain,Sevilla FC,LaLiga,Leicester,Premier League,€15.00m
17,Bruma,Left Winger,22,11.0,Portugal,Galatasaray,Süper Lig,RB Leipzig,Bundesliga,€15.00m
17,Marc Bartra,Centre-Back,27,15.0,Spain,Bor. Dortmund,Bundesliga,Real Betis,LaLiga,€10.50m
17,Kurt Zouma,Centre-Back,22,15.0,France,Chelsea,Premier League,Stoke City,Premier League,Loan fee:€7.80m
17,M'Baye Niang,Centre-Forward,22,15.0,Senegal,AC Milan,Serie A,Torino,Serie A,Loan fee:€2.00m
17,Serge Gnabry,Left Winger,22,15.0,Germany,Bayern Munich,Bundesliga,TSG Hoffenheim,Bundesliga,Loan fee:€1.00m
17,Badou Ndiaye,Central Midfield,27,7.0,Senegal,Galatasaray,Süper Lig,Stoke City,Premier League,€16.00m
17,Emanuel Mammana,Centre-Back,21,7.0,Argentina,Olympique Lyon,Ligue 1,Zenit S-Pb,Premier Liga,€16.00m
17,Jean-Kévin Augustin,Centre-Forward,20,3.0,France,Paris SG,Ligue 1,RB Leipzig,Bundesliga,€16.00m
17,Éver Banega,Central Midfield,29,16.0,Argentina,Inter,Serie A,Sevilla FC,LaLiga,€7.00m
17,Oliver Burke,Right Winger,20,7.0,Scotland,RB Leipzig,Bundesliga,West Brom,Premier League,€15.20m
17,Terence Kongolo,Centre-Back,23,10.0,Netherlands,Feyenoord,Eredivisie,Monaco,Ligue 1,€15.00m
17,Sebastián Driussi,Attacking Midfield,21,8.0,Argentina,River Plate,Superliga,Zenit S-Pb,Premier Liga,€15.00m
17,Gianluca Caprari,Second Striker,23,6.0,Italy,Inter,Serie A,Sampdoria,Serie A,€15.00m
17,Mahmoud Dahoud,Central Midfield,21,15.0,Syria,Bor. M'gladbach,Bundesliga,Bor. Dortmund,Bundesliga,€12.00m
17,Serge Gnabry,Left Winger,21,15.0,Germany,Werder Bremen,Bundesliga,Bayern Munich,Bundesliga,€8.00m
17,Nico Gaitán,Attacking Midfield,30,15.0,Argentina,Atlético Madrid,LaLiga,DL Yifang,Super League,€5.50m
17,Gabriel Barbosa,Centre-Forward,21,15.0,Brazil,Inter,Serie A,Benfica,Liga NOS,Loan fee:€1.70m
17,Marko Pjaca,Left Winger,22,15.0,Croatia,Juventus,Serie A,FC Schalke 04,Bundesliga,Loan fee:€800k
17,Patrik Schick,Centre-Forward,21,15.0,Czech Republic,Sampdoria,Serie A,AS Roma,Serie A,loan transfer
17,Wayne Rooney,Centre-Forward,31,15.0,England,Man Utd,Premier League,Everton,Premier League,free transfer
17,Lucas Pérez,Centre-Forward,28,15.0,Spain,Arsenal,Premier League,Dep. La Coruña,LaLiga,loan transfer
17,Cengiz Ünder,Right Winger,20,5.0,Türkiye,Basaksehir,Süper Lig,AS Roma,Serie A,€14.25m
17,Francis Coquelin,Defensive Midfield,26,12.0,France,Arsenal,Premier League,Valencia,LaLiga,€14.00m
17,Rúben Semedo,Centre-Back,23,9.0,Portugal,Sporting CP,Liga NOS,Villarreal,LaLiga,€14.00m
17,Maxime Gonalons,Defensive Midfield,28,14.0,France,Olympique Lyon,Ligue 1,AS Roma,Serie A,€5.00m
17,Enes Ünal,Centre-Forward,20,14.0,Türkiye,Villarreal,LaLiga,Levante,LaLiga,loan transfer
17,Harry Maguire,Centre-Back,24,8.0,England,Hull City,Championship,Leicester,Premier League,€13.70m
17,Sandro Wagner,Centre-Forward,30,9.0,Germany,TSG Hoffenheim,Bundesliga,Bayern Munich,Bundesliga,€13.00m
17,Steve Mounié,Centre-Forward,22,5.5,Benin,Montpellier,Ligue 1,Huddersfield,Premier League,€13.00m
17,Gabriel Paulista,Centre-Back,26,13.0,Brazil,Arsenal,Premier League,Valencia,LaLiga,€11.00m
17,Sead Kolasinac,Centre-Back,24,15.0,Bosnia-Herzegovina,FC Schalke 04,Bundesliga,Arsenal,Premier League,free transfer
17,Eliaquim Mangala,Centre-Back,26,15.0,France,Man City,Premier League,Everton,Premier League,loan transfer
17,Rafinha,Attacking Midfield,24,15.0,Brazil,Barcelona,LaLiga,Inter,Serie A,loan transfer
17,Ahmed Musa,Left Winger,25,15.0,Nigeria,Leicester,Premier League,CSKA Moscow,Premier Liga,loan transfer
17,José Izquierdo,Left Winger,25,14.0,Colombia,Club Brugge,JPL,Brighton,Premier League,€18.00m
17,Enes Ünal,Centre-Forward,20,10.0,Türkiye,Man City,Premier League,Villarreal,LaLiga,€14.00m
17,Thiago Maia,Defensive Midfield,20,4.5,Brazil,Santos,Série A,LOSC Lille,Ligue 1,€14.00m
17,Gerard Deulofeu,Centre-Forward,23,14.0,Spain,Barcelona,LaLiga,Watford,Premier League,Loan fee:€1.00m
17,Jay Rodríguez,Centre-Forward,27,10.0,England,Southampton,Premier League,West Brom,Premier League,€13.70m
17,Marko Rog,Central Midfield,21,10.0,Croatia,Dinamo Zagreb,SuperSport HNL,Napoli,Serie A,€13.50m
17,Emre Mor,Right Winger,20,5.0,Türkiye,Bor. Dortmund,Bundesliga,Celta de Vigo,LaLiga,€13.00m
17,Davy Pröpper,Central Midfield,25,10.0,Netherlands,PSV Eindhoven,Eredivisie,Brighton,Premier League,€13.00m
17,Vincent Janssen,Centre-Forward,23,13.0,Netherlands,Tottenham,Premier League,Fenerbahce,Süper Lig,Loan fee:€2.50m
17,Jeison Murillo,Centre-Back,25,13.0,Colombia,Inter,Serie A,Valencia,LaLiga,Loan fee:€1.00m
17,Sven Bender,Defensive Midfield,28,7.0,Germany,Bor. Dortmund,Bundesliga,B. Leverkusen,Bundesliga,€12.50m
17,Simon Kjær,Centre-Back,28,11.0,Denmark,Fenerbahce,Süper Lig,Sevilla FC,LaLiga,€12.50m
17,Mario Hermoso,Centre-Back,22,4.0,Spain,RM Castilla,2ª B - Grupo I,Espanyol,LaLiga,€12.50m
17,Lukasz Teodorczyk,Centre-Forward,26,12.5,Poland,Dynamo Kyiv,Premier Liga,RSC Anderlecht,JPL,€4.50m
17,Richarlison,Centre-Forward,20,2.0,Brazil,Fluminense,Série A,Watford,Premier League,€12.40m
17,Esequiel Barco,Attacking Midfield,18,6.5,Argentina,Independiente,Superliga,Atlanta,MLS,€12.28m
17,Gerard Deulofeu,Centre-Forward,23,12.0,Spain,Everton,Premier League,Barcelona,LaLiga,€12.00m
17,Douglas Luiz,Central Midfield,19,0,Brazil,Vasco da Gama,Série A,Man City,Premier League,€12.00m
17,Mattia De Sciglio,Right-Back,24,8.5,Italy,AC Milan,Serie A,Juventus,Serie A,€12.00m
17,Adrián Ramos,Centre-Forward,31,5.0,Colombia,Bor. Dortmund,Bundesliga,CQ Dangdai Lif.,Super League,€12.00m
17,Roberto Inglese,Centre-Forward,25,4.5,Italy,Chievo Verona,Serie A,Napoli,Serie A,€12.00m
17,Joe Hart,Goalkeeper,30,13.0,England,Man City,Premier League,West Ham,Premier League,Loan fee:€2.30m
17,Bruno Peres,Right-Back,27,11.0,Brazil,Torino,Serie A,AS Roma,Serie A,€12.50m
17,Yevgen Konoplyanka,Left Winger,27,10.0,Ukraine,Sevilla FC,LaLiga,FC Schalke 04,Bundesliga,€12.50m
17,Hirving Lozano,Left Winger,21,10.0,Mexico,Pachuca,Liga MX Apertura,PSV Eindhoven,Eredivisie,€12.50m
17,Roque Mesa,Central Midfield,28,12.0,Spain,UD Las Palmas,LaLiga,Swansea,Premier League,€12.50m
17,Yerry Mina,Centre-Back,23,9.0,Colombia,Palmeiras,Série A,Barcelona,LaLiga,€12.40m
17,Alex Pritchard,Attacking Midfield,24,5.0,England,Norwich,Championship,Huddersfield,Premier League,€12.35m
17,Denis Zakaria,Defensive Midfield,20,4.0,Switzerland,BSC Young Boys,Super League,Bor. M'gladbach,Bundesliga,€12.00m
17,Pedro Rocha,Left Winger,22,1.5,Brazil,Grêmio,Série A,Spartak Moscow,Premier Liga,€12.00m
17,Marco Benassi,Central Midfield,22,9.5,Italy,Torino,Serie A,Fiorentina,Serie A,€12.00m
17,Pablo Fornals,Attacking Midfield,21,10.0,Spain,Málaga CF,LaLiga,Villarreal,LaLiga,€12.00m
17,Adam Ounas,Right Winger,20,4.0,Algeria,G. Bordeaux,Ligue 1,Napoli,Serie A,€12.00m
17,Martin Terrier,Left Winger,20,12.0,France,LOSC Lille,Ligue 1,Olympique Lyon,Ligue 1,€11.00m
17,Luiz Gustavo,Defensive Midfield,29,12.0,Brazil,VfL Wolfsburg,Bundesliga,Marseille,Ligue 1,€10.00m
17,Divock Origi,Centre-Forward,22,12.0,Belgium,Liverpool,Premier League,VfL Wolfsburg,Bundesliga,Loan fee:€6.50m
17,Gary Medel,Centre-Back,30,12.0,Chile,Inter,Serie A,Besiktas,Süper Lig,€2.50m
17,Gabriel Barbosa,Centre-Forward,21,12.0,Brazil,Inter,Serie A,Santos,Série A,Loan fee:€1.70m
17,Giannelli Imbula,Defensive Midfield,24,12.0,DR Congo,Stoke City,Premier League,Toulouse,Ligue 1,loan transfer
17,Arda Turan,Left Winger,30,12.0,Türkiye,Barcelona,LaLiga,Basaksehir,Süper Lig,loan transfer
17,Landry Dimata,Centre-Forward,19,6.5,Belgium,KV Oostende,JPL,VfL Wolfsburg,Bundesliga,€11.50m
17,Asmir Begovic,Goalkeeper,30,8.0,Bosnia-Herzegovina,Chelsea,Premier League,Bournemouth,Premier League,€11.50m
17,Jacob Murphy,Right Winger,22,1.0,England,Norwich,Championship,Newcastle,Premier League,€11.30m
17,Diego Llorente,Centre-Back,23,7.5,Spain,Real Madrid,LaLiga,Real Sociedad,LaLiga,€11.00m
17,Jonathan Viera,Attacking Midfield,28,8.0,Spain,UD Las Palmas,LaLiga,BJ Guoan,Super League,€11.00m
17,Bruno Martins Indi,Centre-Back,25,11.0,Netherlands,FC Porto,Liga NOS,Stoke City,Premier League,€7.70m
17,Lorenzo Pellegrini,Attacking Midfield,21,12.0,Italy,Sassuolo,Serie A,AS Roma,Serie A,€10.00m
17,Nolito,Left Winger,30,12.0,Spain,Man City,Premier League,Sevilla FC,LaLiga,€7.00m
17,Sofiane Feghouli,Defensive Midfield,27,12.0,Algeria,West Ham,Premier League,Galatasaray,Süper Lig,€4.25m
17,Aleksandar Dragovic,Centre-Back,26,12.0,Austria,B. Leverkusen,Bundesliga,Leicester,Premier League,Loan fee:€2.50m
17,Jesús Navas,Right-Back,31,12.0,Spain,Man City,Premier League,Sevilla FC,LaLiga,free transfer
17,Martin Terrier,Left Winger,20,12.0,France,Olympique Lyon,Ligue 1,R. Strasbourg,Ligue 1,loan transfer
17,Jordan Rhodes,Centre-Forward,27,10.0,Scotland,Middlesbrough,Championship,Sheff Wed,Championship,€11.70m
17,Lucas Pratto,Centre-Forward,29,4.5,Argentina,São Paulo,Série A,River Plate,Superliga,€11.50m
17,Martin Braithwaite,Centre-Forward,26,7.5,Denmark,Toulouse,Ligue 1,Middlesbrough,Championship,€11.30m
17,Guilherme Arana,Left-Back,20,10.0,Brazil,Corinthians,Série A,Sevilla FC,LaLiga,€11.00m
17,Jô,Centre-Forward,30,4.0,Brazil,Corinthians,Série A,Nagoya Grampus,J1 League,€11.00m
17,Leonardo Pavoletti,Centre-Forward,28,11.0,Italy,Napoli,Serie A,Cagliari Calcio,Serie A,€9.80m
17,Vincent Koziello,Central Midfield,22,11.0,France,OGC Nice,Ligue 1,1.FC Köln,Bundesliga,€3.00m
17,Sergi Darder,Central Midfield,23,11.0,Spain,Olympique Lyon,Ligue 1,Espanyol,LaLiga,Loan fee:€300k
17,Sardar Azmoun,Centre-Forward,22,11.0,Iran,Rostov,Premier Liga,Rubin Kazan,Premier Liga,free transfer
17,Juan Foyth,Right-Back,19,5.0,Argentina,Estudiantes LP,Superliga,Tottenham,Premier League,€10.50m
17,Luiz Araújo,Right Winger,21,5.0,Brazil,São Paulo,Série A,LOSC Lille,Ligue 1,€10.50m
17,Ignacio Camacho,Defensive Midfield,27,10.0,Spain,Málaga CF,LaLiga,VfL Wolfsburg,Bundesliga,€14.00m
