Saison,Spieler,Position,Alter,Marktwert,Nationalität,Abgebender Verein,Abgebende Liga,Aufnehmender Verein,Aufnehmende Liga,Ablöse
20,Patrick Roberts,Right Winger,23,2.5,England,Man City,Premier League,Derby,Championship,loan transfer
20,José Sosa,Attacking Midfield,35,2.5,Argentina,Trabzonspor,Süper Lig,Fenerbahce,Süper Lig,free transfer
20,Mustapha Bundu,Right Winger,23,2.5,Sierra Leone,RSC Anderlecht,JPL,FC Copenhagen,Superliga,loan transfer
20,Marcos Guilherme,Right Winger,25,2.5,Brazil,Internacional,Série A,Santos,Série A,loan transfer
20,Clifford Aboagye,Central Midfield,25,2.5,Ghana,Club Tijuana,Liga MX Apertura,Puebla FC,Liga MX Apertura,€2.00m
20,Mostafa Mohamed,Centre-Forward,23,2.5,Egypt,Zamalek,Premier League,Galatasaray,Süper Lig,Loan fee:€1.66m
20,Artur Ioniță,Central Midfield,30,2.5,Moldova,Cagliari Calcio,Serie A,Benevento,Serie A,€1.50m
20,Alexander Barboza,Centre-Back,25,2.5,Argentina,Independiente,Liga Profesional,Libertad,Primera División Clausura,€1.40m
20,Yvan Neyou,Defensive Midfield,23,2.5,Cameroon,Braga B,Without Club,Saint-Étienne,Ligue 1,€1.00m
20,Ronald Matarrita,Left-Back,26,2.5,Costa Rica,New York City,MLS,Cincinnati,MLS,€545k
20,Martín Benítez,Attacking Midfield,26,2.5,Argentina,Independiente,Liga Profesional,São Paulo,Série A,Loan fee:€250k
20,Leonardo Godoy,Right-Back,25,2.5,Argentina,CA Talleres,Copa de la Liga,Estudiantes LP,Copa de la Liga,Loan fee:€100k
20,Gastón Ávila,Centre-Back,19,2.5,Argentina,Boca Juniors,Liga Profesional,Rosario Central,Liga Profesional,Loan fee:€99k
20,Enner Valencia,Centre-Forward,30,2.5,Ecuador,Tigres UANL,Liga MX Apertura,Fenerbahce,Süper Lig,free transfer
20,Jaka Bijol,Centre-Back,21,2.5,Slovenia,CSKA Moscow,Premier Liga,Hannover 96,2. Bundesliga,loan transfer
20,Jô,Centre-Forward,33,2.5,Brazil,Nagoya Grampus,J1 League,Corinthians,Série A,free transfer
20,Álvaro Giménez,Centre-Forward,29,2.5,Spain,Cádiz CF,LaLiga,RCD Mallorca,2ª División,loan transfer
20,Federico Ceccherini,Centre-Back,28,2.5,Italy,Fiorentina,Serie A,Hellas Verona,Serie A,loan transfer
20,Hulk,Centre-Forward,34,2.5,Brazil,SH Port,Super League,Atlético-MG,Série A,free transfer
20,Kévin Denkey,Centre-Forward,20,2.5,Togo,Nîmes Olympique,Ligue 1,Cercle Brugge,JPL,free transfer
20,Santi Cazorla,Central Midfield,35,2.5,Spain,Villarreal,LaLiga,Al-Sadd,Stars League,free transfer
20,Güven Yalçın,Centre-Forward,22,2.5,Türkiye,Besiktas,Süper Lig,Lecce,Serie B,loan transfer
20,Iñigo Córdoba,Left Winger,23,2.5,Spain,Athletic,LaLiga,Alavés,LaLiga,loan transfer
20,Saman Ghoddos,Attacking Midfield,27,2.5,Iran,Amiens SC,Ligue 2,Brentford,Championship,?
20,Gabriele Zappa,Right-Back,20,2.5,Italy,Pescara,Serie B,Cagliari Calcio,Serie A,loan transfer
20,Johan Mojica,Left-Back,28,2.5,Colombia,Girona,2ª División,Elche CF,LaLiga,loan transfer
20,Djordje Despotovic,Centre-Forward,28,2.5,Serbia,Orenburg,FNL,Rubin Kazan,Premier Liga,free transfer
20,Mickaël Malsa,Defensive Midfield,24,2.5,Martinique,CD Mirandés,2ª División,Levante,LaLiga,free transfer
20,Jaromir Zmrhal,Left Midfield,27,2.5,Czech Republic,Brescia,Serie B,Mlada Boleslav,Fortuna Liga,loan transfer
20,Maurício,Defensive Midfield,31,2.5,Brazil,PAOK Salonika,Super League 1,Panathinaikos,Super League 1,free transfer
20,Juan Sánchez Miño,Left-Back,31,2.5,Argentina,Elche CF,LaLiga,Estudiantes LP,Liga Profesional,free transfer
20,Matheus Reis,Left-Back,25,2.5,Brazil,Rio Ave,Liga NOS,Sporting CP,Liga NOS,loan transfer
